song_id,performer,song,spotify_genre,danceability,loudness,speechiness,valence,spotify_track_popularity
What A Diff'rence A Day MakesDinah Washington,Dinah Washington,What A Diff'rence A Day Makes,"['adult standards', 'jazz', 'jazz blues', 'lounge', 'soul', 'swing', 'vocal jazz']",0.387,-17.803,0.0299,0.166,60
ParadiseColdplay,Coldplay,Paradise,"['permanent wave', 'pop']",0.449,-6.762,0.0268,0.203,79
Never Gonna Let You GoSergio Mendes,Sergio Mendes,Never Gonna Let You Go,"['bossa nova', 'brazilian jazz', 'samba']",0.633,-12.35,0.0319,0.342,42
Use Your HeartSWV,SWV,Use Your Heart,"['dance pop', 'girl group', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'pop', 'quiet storm', 'r&b', 'urban contemporary']",0.625,-9.537,0.0364,0.642,49
You Can't Do ThatThe Beatles,The Beatles,You Can't Do That,"['british invasion', 'merseybeat', 'psychedelic rock', 'rock']",0.612,-6.251,0.0335,0.961,49
Simply IrresistibleRobert Palmer,Robert Palmer,Simply Irresistible,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'dance rock', 'disco', 'heartland rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'yacht rock']",0.69,-13.357,0.0384,0.716,52
Here Come Those Tears AgainJackson Browne,Jackson Browne,Here Come Those Tears Again,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",0.674,-9.336,0.0312,0.727,38
Blame It On YouJason Aldean,Jason Aldean,Blame It On You,"['contemporary country', 'country', 'country road']",0.484,-5.334,0.0308,0.594,71
If You GoJon Secada,Jon Secada,If You Go,['soft rock'],0.631,-8.106,0.0337,0.522,35
So WhatField Mob Featuring Ciara,Field Mob Featuring Ciara,So What,"['atl hip hop', 'dirty south rap', 'gangster rap', 'southern hip hop', 'trap']",0.931,-10.558,0.139,0.896,54
"In The StoneEarth, Wind & Fire","Earth, Wind & Fire",In The Stone,"['disco', 'funk', 'jazz funk', 'motown', 'quiet storm', 'soul']",0.656,-10.346,0.0493,0.717,57
One In Every CrowdMontgomery Gentry,Montgomery Gentry,One In Every Crowd,"['contemporary country', 'country', 'country road', 'country rock', 'modern country rock', 'redneck']",0.643,-4.447,0.0495,0.674,52
I'll Name The DogsBlake Shelton,Blake Shelton,I'll Name The Dogs,"['contemporary country', 'country', 'country road', 'oklahoma country']",0.348,-5.86,0.137,0.763,69
Lost In EmotionLisa Lisa And Cult Jam,Lisa Lisa And Cult Jam,Lost In Emotion,"['freestyle', 'funk', 'new jack swing', 'quiet storm']",0.722,-6.913,0.0544,0.955,44
PaparazziLady Gaga,Lady Gaga,Paparazzi,"['dance pop', 'pop']",0.755,-3.97,0.0535,0.429,64
Something Got Me StartedSimply Red,Simply Red,Something Got Me Started,"['british soul', 'dance rock', 'disco', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock']",0.698,-6.563,0.0459,0.715,41
Minimum WageBlake Shelton,Blake Shelton,Minimum Wage,"['contemporary country', 'country', 'country road', 'oklahoma country']",0.546,-3.796,0.0643,0.775,72
Don't Stop The MusicYarbrough & Peoples,Yarbrough & Peoples,Don't Stop The Music,['contemporary vocal jazz'],0.829,-8.736,0.0415,0.949,49
Wicked GamesThe Weeknd,The Weeknd,Wicked Games,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.658,-5.197,0.0309,0.326,75
Money RunnerQuincy Jones,Quincy Jones,Money Runner,"['adult standards', 'disco', 'funk', 'jazz funk', 'motown', 'quiet storm', 'soul']",0.479,-13.117,0.0421,0.781,31
Where Evil GrowsThe Poppy Family,The Poppy Family,Where Evil Grows,"['bubblegum pop', 'canadian psychedelic', 'classic canadian rock', 'psychedelic folk']",0.555,-9.721,0.0313,0.68,39
Mad WorldAdam Lambert,Adam Lambert,Mad World,"['australian pop', 'dance pop', 'idol', 'pop', 'post-teen pop']",0.533,-5.416,0.038,0.156,39
GamesLuke Bryan,Luke Bryan,Games,"['contemporary country', 'country', 'country road']",0.516,-3.368,0.104,0.882,55
Mr. MelodyNatalie Cole,Natalie Cole,Mr. Melody,"['adult standards', 'lounge', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul', 'vocal jazz']",0.469,-10.263,0.208,0.447,30
For The Cool In YouBabyface,Babyface,For The Cool In You,"['dance pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",0.887,-7.346,0.0518,0.761,47
"Sunday MorningEarth, Wind & Fire","Earth, Wind & Fire",Sunday Morning,"['disco', 'funk', 'jazz funk', 'motown', 'quiet storm', 'soul']",0.613,-9.55,0.0353,0.83,28
"I Love New York / New York, New YorkGlee Cast",Glee Cast,"I Love New York / New York, New York","['glee club', 'hollywood', 'post-teen pop']",0.585,-5.422,0.0362,0.282,37
But It's AlrightHuey Lewis & The News,Huey Lewis & The News,But It's Alright,"['album rock', 'classic rock', 'dance rock', 'folk rock', 'mellow gold', 'new wave', 'new wave pop', 'pop rock', 'rock', 'soft rock']",0.737,-4.59,0.0297,0.966,41
Can't Cry AnymoreSheryl Crow,Sheryl Crow,Can't Cry Anymore,"['folk', 'lilith', 'mellow gold', 'neo mellow', 'new wave pop', 'permanent wave', 'pop rock', 'rock']",0.838,-10.806,0.0584,0.847,37
RunMatt Nathanson Featuring Sugarland,Matt Nathanson Featuring Sugarland,Run,"['acoustic pop', 'indiecoustica', 'neo mellow', 'pop rock']",0.619,-5.701,0.0312,0.204,47
ElenoreThe Turtles,The Turtles,Elenore,"['brill building pop', 'bubblegum pop', 'folk rock', 'psychedelic rock']",0.63,-8.407,0.0375,0.887,55
"Hold On, We're Going HomeDrake Featuring Majid Jordan",Drake Featuring Majid Jordan,"Hold On, We're Going Home","['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",0.776,-7.438,0.0952,0.287,71
OnlyNine Inch Nails,Nine Inch Nails,Only,"['alternative metal', 'alternative rock', 'cyberpunk', 'electronic rock', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']",0.717,-5.678,0.0294,0.961,52
50 Ways To Say GoodbyeTrain,Train,50 Ways To Say Goodbye,"['neo mellow', 'pop', 'pop rock']",0.591,-2.664,0.0478,0.736,66
Cryin' For Me (Wayman's Song)Toby Keith,Toby Keith,Cryin' For Me (Wayman's Song),"['contemporary country', 'country', 'country road', 'oklahoma country']",0.51,-7.685,0.0284,0.261,43
Superman (It's Not Easy)Five For Fighting,Five For Fighting,Superman (It's Not Easy),"['acoustic pop', 'neo mellow', 'piano rock', 'pop rock', 'post-grunge']",0.382,-9.303,0.0302,0.125,70
"I Like It Like That, Part 1Chris Kenner",Chris Kenner,"I Like It Like That, Part 1","['louisiana blues', 'new orleans blues', 'rhythm and blues']",0.577,-12.315,0.0742,0.813,24
OthersideRed Hot Chili Peppers,Red Hot Chili Peppers,Otherside,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'post-grunge', 'rock']",0.458,-3.265,0.0574,0.513,80
Small Town GirlJohn Cafferty & The Beaver Brown Band,John Cafferty & The Beaver Brown Band,Small Town Girl,['heartland rock'],0.564,-9.91,0.0243,0.887,16
2 MuchJustin Bieber,Justin Bieber,2 Much,"['canadian pop', 'pop', 'post-teen pop']",0.583,-8.601,0.0456,0.167,76
Do I Love You?The Ronettes,The Ronettes,Do I Love You?,"['adult standards', 'brill building pop', 'classic girl group', 'motown']",0.462,-8.772,0.0386,0.381,27
Jump Out The WindowBig Sean,Big Sean,Jump Out The Window,"['detroit hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.745,-6.729,0.0768,0.554,70
