subject.exp,gender,age,list,property.type,exception.type,condition,item.no,statement,response
34,male,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,1
34,male,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
34,male,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,1
34,male,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,1
34,male,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,1
34,male,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,1
34,male,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,1
34,male,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,1
35,male,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,0
35,male,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
35,male,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,1
35,male,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,1
35,male,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,1
35,male,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,1
35,male,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,1
35,male,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,1
36,female,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,1
36,female,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,0
36,female,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,1
36,female,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,1
36,female,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,0
36,female,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,1
36,female,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,0
36,female,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,
37,male,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,1
37,male,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
37,male,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,1
37,male,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,1
37,male,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,0
37,male,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,1
37,male,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,0
37,male,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,1
38,female,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,0
38,female,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
38,female,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,1
38,female,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,1
38,female,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,0
38,female,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,0
38,female,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,1
38,female,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,1
39,female,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,0
